image_url,categories,code,product_name,generic_name
https://images.openfoodfacts.org/images/products/789/628/300/4407/front_pt.3.400.jpg,,7896283004407,Mistura De Farinhas Linchia Integral Jasmine Pacote 200g,
https://images.openfoodfacts.org/images/products/789/628/300/4704/front_pt.3.400.jpg,,7896283004704,Granola Orgânica Castanha Do Pará Jasmine Especial Pouch 200g,
https://images.openfoodfacts.org/images/products/789/628/300/4872/front_pt.3.400.jpg,,7896283004872,Cranberry Desidratado Jasmine Pouch 70g,
https://images.openfoodfacts.org/images/products/789/628/300/4957/front_pt.3.400.jpg,,7896283004957,Mix De Sementes E Nuts Jasmine Pacote 40g,
https://images.openfoodfacts.org/images/products/789/628/300/5268/front_pt.5.400.jpg,,7896283005268,Linhaça Dourada Em Grãos Integral Jasmine Pouch 150g,
https://images.openfoodfacts.org/images/products/789/628/300/5848/front_pt.3.400.jpg,,7896283005848,Aveia Em Flocos Grossos Jasmine Caixa 200g,
https://images.openfoodfacts.org/images/products/789/628/300/6142/front_pt.3.400.jpg,,7896283006142,Pão De Sanduíche Tradicional Sem Glúten Jasmine Pacote 350g,
https://images.openfoodfacts.org/images/products/789/628/300/6159/front_pt.3.400.jpg,,7896283006159,Granola Cranberries E Açaí Jasmine Especial Pouch 250g,
https://images.openfoodfacts.org/images/products/789/628/300/6241/front_pt.15.400.jpg,"Alimentos e bebidas à base de plantas, Alimentos à base de plantas, Cereais e Batatas, Pães",7896283006241,Pão De Sanduíche Frutas E Castanhas Sem Glúten Jasmine Pacote 350g,
https://images.openfoodfacts.org/images/products/789/628/300/6456/front_pt.3.400.jpg,,7896283006456,Biscoito Vegano Frutas Vermelhas Zero Açúcar Jasmine Sou Sweet Caixa 75g,
https://images.openfoodfacts.org/images/products/789/628/300/6524/front_pt.3.400.jpg,,7896283006524,Biscoito Vegano Chocolate Gotas Zero Açúcar Jasmine Sou Sweet Caixa 75g,
https://images.openfoodfacts.org/images/products/789/628/300/6999/front_pt.3.400.jpg,,7896283006999,Mix Para Vegetal Burger Integral Original Jasmine Sachê 80g,
https://images.openfoodfacts.org/images/products/789/628/300/7002/front_pt.3.400.jpg,,7896283007002,Mix Para Vegetal Burger Com Ervas Integral Jasmine Pacote 80g,
https://images.openfoodfacts.org/images/products/789/628/300/7262/front_en.3.400.jpg,,7896283007262,Granola Castanha De Caju Jasmine Pouch 250g,
https://images.openfoodfacts.org/images/products/789/628/300/7279/front_pt.3.400.jpg,,7896283007279,Granola Castanha De Caju Jasmine Pacote 1kg Embalagem Econômica,
https://images.openfoodfacts.org/images/products/789/628/380/0184/front_pt.5.400.jpg,,7896283800184,Leite Uht Integral Jussara Max Garrafa 1l,
https://images.openfoodfacts.org/images/products/789/628/380/0191/front_pt.3.400.jpg,,7896283800191,Leite Uht Desnatado Jussara Max Garrafa 1l,
https://images.openfoodfacts.org/images/products/789/628/380/0221/front_pt.8.400.jpg,,7896283800221,Leite Uht Integral Jussara Caixa 1l,
https://images.openfoodfacts.org/images/products/789/628/380/0245/front_pt.4.400.jpg,"Dairies,Creams,pt:Creme de leite",7896283800245,creme de leite leve Jussara,
https://images.openfoodfacts.org/images/products/789/628/380/0542/front_pt.3.400.jpg,,7896283800542,Leite Uht Semidesnatado Jussara Max Garrafa 1l,
https://images.openfoodfacts.org/images/products/789/628/661/4832/front_en.3.400.jpg,,7896286614832,Bala sabor maçã verde,
https://images.openfoodfacts.org/images/products/789/629/030/0011/front_pt.3.400.jpg,,7896290300011,Arroz Prato Fino Branco 5 Kg,
https://images.openfoodfacts.org/images/products/789/629/030/0141/front_pt.3.400.jpg,,7896290300141,Arroz Prato Fino Branco 2kg,
https://images.openfoodfacts.org/images/products/789/629/030/0189/front_pt.7.400.jpg,,7896290300189,Arroz Prato Fino Branco,
https://images.openfoodfacts.org/images/products/789/629/030/0332/front_pt.5.400.jpg,,7896290300332,Arroz Prato Fino Parboilizado 5kg,
https://images.openfoodfacts.org/images/products/789/629/200/0391/front_pt.3.400.jpg,,7896292000391,Açúcar Mascavo Peneirado Lowçucar Pacote 500g,
https://images.openfoodfacts.org/images/products/789/629/200/1404/front_pt.3.400.jpg,,7896292001404,Adoçante Em Pó Sacarose Magro Fit Pacote 400g,
https://images.openfoodfacts.org/images/products/789/629/200/2760/front_en.3.400.jpg,,7896292002760,Wafer sabor chocolate,
https://images.openfoodfacts.org/images/products/789/629/200/5761/front_pt.3.400.jpg,,7896292005761,Adoçante Em Pó Lowçucar Tanto Quanto Forno E Fogão Pote 95g,
https://images.openfoodfacts.org/images/products/789/629/230/0477/front_pt.3.400.jpg,,7896292300477,Mostarda Amarela Predilecta Squeeze 180g,
https://images.openfoodfacts.org/images/products/789/629/230/2075/front_pt.3.400.jpg,,7896292302075,Cobertura Para Sorvete Morango Predilecta Premium Squeeze 220g Grátis 20g,
https://images.openfoodfacts.org/images/products/789/629/230/2082/front_pt.18.400.jpg,Produtos sem glútem,7896292302082,Cobertura Para Sorvete Chocolate Predilecta Premium Squeeze 220g Grátis 20g,
https://images.openfoodfacts.org/images/products/789/629/230/2921/front_pt.3.400.jpg,,7896292302921,Marmelada Predilecta Bandeja 350g,
https://images.openfoodfacts.org/images/products/789/629/230/3621/front_pt.3.400.jpg,,7896292303621,Cobertura Para Sorvete Caramelo Predilecta Premium Squeeze 220g Grátis 20g,
https://images.openfoodfacts.org/images/products/789/629/230/5496/front_en.3.400.jpg,,7896292305496,Geleia De Mocotó Morango Predilecta Copo 180g,
https://images.openfoodfacts.org/images/products/789/629/230/7490/front_pt.3.400.jpg,,7896292307490,Geleia Morango Predilecta Premium Gourmet Vidro 320g,
https://images.openfoodfacts.org/images/products/789/629/230/7513/front_pt.3.400.jpg,,7896292307513,Geleia Framboesa Predilecta Premium Vidro 320g,
https://images.openfoodfacts.org/images/products/789/629/230/7544/front_pt.3.400.jpg,,7896292307544,Molho Para Yakissoba Predilecta Sachê 300g,
https://images.openfoodfacts.org/images/products/789/629/230/9005/front_pt.3.400.jpg,,7896292309005,Molho Xadrez Predilecta Sachê 300g,
https://images.openfoodfacts.org/images/products/789/629/230/9517/front_pt.3.400.jpg,,7896292309517,Molho Branco Predilecta Sachê 240g,
https://images.openfoodfacts.org/images/products/789/629/230/9555/front_pt.3.400.jpg,,7896292309555,Molho 3 Queijos Predilecta Sachê 240g,
https://images.openfoodfacts.org/images/products/789/629/231/0056/front_pt.3.400.jpg,,7896292310056,Goiabada Predilecta Flow Pack,
https://images.openfoodfacts.org/images/products/789/629/231/1466/front_pt.6.400.jpg,,7896292311466,,
https://images.openfoodfacts.org/images/products/789/629/231/5112/front_pt.3.400.jpg,,7896292315112,Geleia Morango Predilecta Squeeze 210g,
https://images.openfoodfacts.org/images/products/789/629/231/5174/front_pt.3.400.jpg,,7896292315174,Cogumelo Champignon Em Conserva Predilecta Sachê 100g,
https://images.openfoodfacts.org/images/products/789/629/232/0291/front_pt.3.400.jpg,,7896292320291,Doce De Leite Tablete Predilecta 400g,
https://images.openfoodfacts.org/images/products/789/629/232/2912/front_pt.3.400.jpg,,7896292322912,Bananada Predilecta Lata 600g,
https://images.openfoodfacts.org/images/products/789/629/233/3000/front_pt.3.400.jpg,,7896292333000,Molho De Tomate Tradicional Predilecta Sachê 340g,
https://images.openfoodfacts.org/images/products/789/629/233/4281/front_pt.3.400.jpg,,7896292334281,Molho Para Strogonoff Predilecta Sachê 300g,
https://images.openfoodfacts.org/images/products/789/629/233/4298/front_pt.3.400.jpg,,7896292334298,Molho Madeira Para Carne Predilecta Sachê 300g,
https://images.openfoodfacts.org/images/products/789/629/234/1098/front_pt.4.400.jpg,"Alimentos e bebidas à base de plantas, Alimentos à base de plantas, Cereais e Batatas, Sementes, Cereais e seus produtos, Grãos de cereais, en:Corn",7896292341098,Milho,Milho
https://images.openfoodfacts.org/images/products/789/629/234/1197/front_en.5.400.jpg,,7896292341197,Milho em conserva,
https://images.openfoodfacts.org/images/products/789/629/235/0052/front_pt.3.400.jpg,,7896292350052,Goiabada Predilecta Gourmet Pacote 500g,
https://images.openfoodfacts.org/images/products/789/629/235/8072/front_pt.4.400.jpg,,7896292358072,Dueto milho e ervilha,Milho e ervilha
https://images.openfoodfacts.org/images/products/789/629/236/0112/front_pt.3.400.jpg,,7896292360112,Geleia Morango Predilecta Vidro 230g,
https://images.openfoodfacts.org/images/products/789/629/236/0136/front_pt.3.400.jpg,,7896292360136,Geleia Amora Predilecta Vidro 230g,
https://images.openfoodfacts.org/images/products/789/629/236/0464/front_pt.4.400.jpg,"Condimentos, Molhos, Molhos de tomate, Ketchup",7896292360464,Ketchup picante,Ketchup picante
https://images.openfoodfacts.org/images/products/789/629/236/0976/front_pt.3.400.jpg,,7896292360976,Geleia Framboesa Predilecta Vidro 230g,
https://images.openfoodfacts.org/images/products/789/629/236/1225/front_pt.4.400.jpg,,7896292361225,Goiabada Cremosa Predilecta Vidro 320g,
https://images.openfoodfacts.org/images/products/789/629/238/0059/front_pt.3.400.jpg,,7896292380059,Goiabada Predilecta Barra 24x 020 | Doce De Goiabada Predileta 36/500grs,
https://images.openfoodfacts.org/images/products/789/629/380/2000/front_pt.3.400.jpg,,7896293802000,Alimento De Soja Soft Tofu Agronippo Bandeja 500g,
https://images.openfoodfacts.org/images/products/789/629/380/2031/front_pt.3.400.jpg,,7896293802031,Alimento De Soja Kinugoshi Tofu Agronippo 400g,
https://images.openfoodfacts.org/images/products/789/629/380/6176/front_pt.3.400.jpg,,7896293806176,Bebida à Base De Soja Morango Mupy Caixa 1l,
https://images.openfoodfacts.org/images/products/789/629/380/6183/front_pt.3.400.jpg,,7896293806183,Bebida à Base De Soja Maçã Mupy Caixa 1l,
https://images.openfoodfacts.org/images/products/789/629/380/8095/front_pt.3.400.jpg,,7896293808095,Bebida à Base De Soja Morango Mupy Caixa 200ml,
